source_b TotalCurrent(IdVg_VdSat_n1188_des) X,source_b TotalCurrent(IdVg_VdSat_n1188_des) Y,source_b TotalCurrent(IdVg_VdSat_n1988_des) X,source_b TotalCurrent(IdVg_VdSat_n1988_des) Y,source_b TotalCurrent(IdVg_VdSat_n2020_des) X,source_b TotalCurrent(IdVg_VdSat_n2020_des) Y,source_b TotalCurrent(IdVg_VdSat_n2052_des) X,source_b TotalCurrent(IdVg_VdSat_n2052_des) Y,source_b TotalCurrent(IdVg_VdSat_n2084_des) X,source_b TotalCurrent(IdVg_VdSat_n2084_des) Y,source_b TotalCurrent(IdVg_VdSat_n2116_des) X,source_b TotalCurrent(IdVg_VdSat_n2116_des) Y,source_b TotalCurrent(IdVg_VdSat_n2148_des) X,source_b TotalCurrent(IdVg_VdSat_n2148_des) Y,source_b TotalCurrent(IdVg_VdSat_n2180_des) X,source_b TotalCurrent(IdVg_VdSat_n2180_des) Y,source_b TotalCurrent(IdVg_VdSat_n2212_des) X,source_b TotalCurrent(IdVg_VdSat_n2212_des) Y,source_b TotalCurrent(IdVg_VdSat_n2244_des) X,source_b TotalCurrent(IdVg_VdSat_n2244_des) Y,source_b TotalCurrent(IdVg_VdSat_n2276_des) X,source_b TotalCurrent(IdVg_VdSat_n2276_des) Y,source_b TotalCurrent(IdVg_VdSat_n2308_des) X,source_b TotalCurrent(IdVg_VdSat_n2308_des) Y,source_b TotalCurrent(IdVg_VdSat_n2340_des) X,source_b TotalCurrent(IdVg_VdSat_n2340_des) Y,source_b TotalCurrent(IdVg_VdSat_n2372_des) X,source_b TotalCurrent(IdVg_VdSat_n2372_des) Y,source_b TotalCurrent(IdVg_VdSat_n2404_des) X,source_b TotalCurrent(IdVg_VdSat_n2404_des) Y,source_b TotalCurrent(IdVg_VdSat_n2436_des) X,source_b TotalCurrent(IdVg_VdSat_n2436_des) Y,source_b TotalCurrent(IdVg_VdSat_n2468_des) X,source_b TotalCurrent(IdVg_VdSat_n2468_des) Y,source_b TotalCurrent(IdVg_VdSat_n2500_des) X,source_b TotalCurrent(IdVg_VdSat_n2500_des) Y,source_b TotalCurrent(IdVg_VdSat_n2532_des) X,source_b TotalCurrent(IdVg_VdSat_n2532_des) Y,source_b TotalCurrent(IdVg_VdSat_n2564_des) X,source_b TotalCurrent(IdVg_VdSat_n2564_des) Y,source_b TotalCurrent(IdVg_VdSat_n2596_des) X,source_b TotalCurrent(IdVg_VdSat_n2596_des) Y,source_b TotalCurrent(IdVg_VdSat_n2628_des) X,source_b TotalCurrent(IdVg_VdSat_n2628_des) Y,source_b TotalCurrent(IdVg_VdSat_n2660_des) X,source_b TotalCurrent(IdVg_VdSat_n2660_des) Y,source_b TotalCurrent(IdVg_VdSat_n2692_des) X,source_b TotalCurrent(IdVg_VdSat_n2692_des) Y,source_b TotalCurrent(IdVg_VdSat_n2724_des) X,source_b TotalCurrent(IdVg_VdSat_n2724_des) Y,source_b TotalCurrent(IdVg_VdSat_n2756_des) X,source_b TotalCurrent(IdVg_VdSat_n2756_des) Y,source_b TotalCurrent(IdVg_VdSat_n2788_des) X,source_b TotalCurrent(IdVg_VdSat_n2788_des) Y,source_b TotalCurrent(IdVg_VdSat_n2820_des) X,source_b TotalCurrent(IdVg_VdSat_n2820_des) Y,source_b TotalCurrent(IdVg_VdSat_n2852_des) X,source_b TotalCurrent(IdVg_VdSat_n2852_des) Y,source_b TotalCurrent(IdVg_VdSat_n2884_des) X,source_b TotalCurrent(IdVg_VdSat_n2884_des) Y,source_b TotalCurrent(IdVg_VdSat_n2916_des) X,source_b TotalCurrent(IdVg_VdSat_n2916_des) Y,source_b TotalCurrent(IdVg_VdSat_n2948_des) X,source_b TotalCurrent(IdVg_VdSat_n2948_des) Y,source_b TotalCurrent(IdVg_VdSat_n2980_des) X,source_b TotalCurrent(IdVg_VdSat_n2980_des) Y,source_b TotalCurrent(IdVg_VdSat_n3012_des) X,source_b TotalCurrent(IdVg_VdSat_n3012_des) Y,source_b TotalCurrent(IdVg_VdSat_n3044_des) X,source_b TotalCurrent(IdVg_VdSat_n3044_des) Y,source_b TotalCurrent(IdVg_VdSat_n3076_des) X,source_b TotalCurrent(IdVg_VdSat_n3076_des) Y,source_b TotalCurrent(IdVg_VdSat_n3108_des) X,source_b TotalCurrent(IdVg_VdSat_n3108_des) Y,source_b TotalCurrent(IdVg_VdSat_n3140_des) X,source_b TotalCurrent(IdVg_VdSat_n3140_des) Y,source_b TotalCurrent(IdVg_VdSat_n3172_des) X,source_b TotalCurrent(IdVg_VdSat_n3172_des) Y
0,-4.8164651e-19,0,7.8269735e-12,0,9.2859248e-12,0,1.0472774e-11,0,1.1627655e-11,0,1.1314672e-11,0,1.0484723e-11,0,1.0094973e-11,0,9.4664478e-12,0,8.9581436e-12,0,8.4681949e-12,0,8.0888125e-12,0,7.7958154e-12,0,7.6409763e-12,0,7.4885496e-12,0,7.2080241e-12,0,6.9680099e-12,0,6.8292543e-12,0,6.7451204e-12,0,6.6724276e-12,0,6.6404065e-12,0,6.5873981e-12,0,6.5708686e-12,0,6.5977663e-12,0,6.6524904e-12,0,6.6886388e-12,0,6.7197454e-12,0,6.7359689e-12,0,6.7732523e-12,0,6.8302152e-12,0,6.8795177e-12,0,7.0143836e-12,0,7.1479863e-12,0,7.2132551e-12,0,7.3425599e-12,0,7.4712522e-12,0,7.535604e-12,0,7.6649071e-12,0,7.8708425e-12
-0.006,-1.6859716e-19,-0.006,9.5382153e-12,-0.006,1.1311077e-11,-0.006,1.2752078e-11,-0.006,1.4155895e-11,-0.006,1.3781328e-11,-0.006,1.2779337e-11,-0.006,1.2308348e-11,-0.006,1.1549265e-11,-0.006,1.0931888e-11,-0.006,1.03414e-11,-0.006,9.8942772e-12,-0.006,9.5350909e-12,-0.006,9.3462015e-12,-0.006,9.1616343e-12,-0.006,8.8244141e-12,-0.006,8.5427273e-12,-0.006,8.3959542e-12,-0.006,8.3002584e-12,-0.006,8.216191e-12,-0.006,8.1791162e-12,-0.006,8.1194298e-12,-0.006,8.1055537e-12,-0.003,7.3363104e-12,-0.003,7.3961552e-12,-0.003,7.4362246e-12,-0.003,7.4713879e-12,-0.003,7.4898337e-12,-0.006,8.377884e-12,-0.003,7.6006916e-12,-0.003,7.6600267e-12,-0.006,8.7007315e-12,-0.003,7.9595584e-12,-0.003,8.0317396e-12,-0.003,8.1746184e-12,-0.003,8.3166536e-12,-0.003,8.3876056e-12,-0.003,8.5301565e-12,-0.003,8.7593731e-12
-0.013708,1.2322644e-18,-0.013876,1.2369172e-11,-0.013764,1.4605678e-11,-0.013596,1.6367911e-11,-0.01354,1.8132582e-11,-0.013092,1.7404685e-11,-0.013652,1.645466e-11,-0.013652,1.5855185e-11,-0.013092,1.4615269e-11,-0.013708,1.4124686e-11,-0.013876,1.3450813e-11,-0.013876,1.2895811e-11,-0.01382,1.2401952e-11,-0.013764,1.2135016e-11,-0.013764,1.1899159e-11,-0.01382,1.1493992e-11,-0.01382,1.115411e-11,-0.013708,1.0955701e-11,-0.013764,1.0863372e-11,-0.013652,1.0719997e-11,-0.01214,1.0127773e-11,-0.013708,1.0629513e-11,-0.013764,1.0647697e-11,-0.006938,8.4339058e-12,-0.006966,8.5094013e-12,-0.006966,8.5554832e-12,-0.006966,8.5969106e-12,-0.006938,8.6102525e-12,-0.013428,1.090827e-11,-0.006966,8.7572422e-12,-0.006966,8.832218e-12,-0.01326,1.1297234e-11,-0.006966,9.176904e-12,-0.006966,9.259374e-12,-0.006966,9.422396e-12,-0.006966,9.5842e-12,-0.006966,9.6649339e-12,-0.006966,9.8272455e-12,-0.006966,1.0091968e-11
-0.023969917,1.1084289e-19,-0.024361581,1.7493332e-11,-0.024100472,2.0539033e-11,-0.023425224,2.2621106e-11,-0.02350788,2.5167994e-11,-0.022533816,2.3760879e-11,-0.023553688,2.2835631e-11,-0.023839363,2.2226685e-11,-0.022401432,1.9920289e-11,-0.023897976,1.983427e-11,-0.024361581,1.9105903e-11,-0.024288072,1.8317388e-11,-0.02415804,1.756795e-11,-0.024028008,1.7151792e-11,-0.024028008,1.6826972e-11,-0.02415804,1.6318776e-11,-0.02415804,1.5904741e-11,-0.023897976,1.5593853e-11,-0.024028008,1.5521107e-11,-0.023767944,1.5251947e-11,-0.020314387,1.3468749e-11,-0.023897976,1.5199961e-11,-0.023955544,1.5267404e-11,-0.012180791,1.0156168e-11,-0.012246068,1.0257899e-11,-0.012246068,1.0313745e-11,-0.012246068,1.0365422e-11,-0.012180791,1.0368928e-11,-0.023247816,1.5484115e-11,-0.012246068,1.0581125e-11,-0.012246068,1.0680572e-11,-0.02285772,1.5966456e-11,-0.012246068,1.1093901e-11,-0.012246068,1.119238e-11,-0.012246068,1.1386761e-11,-0.012246068,1.1579141e-11,-0.012246068,1.1675035e-11,-0.012246068,1.1868386e-11,-0.012246068,1.2190139e-11
-0.037536172,-3.0734286e-18,-0.03822352,2.7689506e-11,-0.037765288,3.2266326e-11,-0.036327719,3.4622815e-11,-0.035662048,3.7569225e-11,-0.03510402,3.5994141e-11,-0.03664372,3.5254715e-11,-0.037307056,3.4779483e-11,-0.034708501,3.0028541e-11,-0.037369124,3.1108433e-11,-0.031292551,2.4108848e-11,-0.038052831,2.9160328e-11,-0.037824929,2.7873857e-11,-0.037597027,2.7138312e-11,-0.037597027,2.6646167e-11,-0.037824929,2.599144e-11,-0.037824929,2.5514307e-11,-0.037369124,2.4914486e-11,-0.037597027,2.4916916e-11,-0.037141222,2.4346242e-11,-0.031120926,1.9655302e-11,-0.037274018,2.4392508e-11,-0.037333644,2.4580293e-11,-0.019160693,1.3010634e-11,-0.019275599,1.3160317e-11,-0.019275599,1.3233103e-11,-0.019275599,1.3302749e-11,-0.019160693,1.3285978e-11,-0.036229613,2.4677986e-11,-0.019275599,1.3626244e-11,-0.019275599,1.3762595e-11,-0.035545906,2.5249113e-11,-0.019275599,1.4286717e-11,-0.019275599,1.4411405e-11,-0.019275599,1.4657062e-11,-0.019275599,1.4899433e-11,-0.019275599,1.5020062e-11,-0.019275599,1.5265408e-11,-0.019275599,1.5683322e-11
-0.045036172,-8.1901957e-17,-0.04572352,3.5516226e-11,-0.052765288,5.3043833e-11,-0.051327719,5.6858314e-11,-0.050662048,6.1670908e-11,-0.05010402,5.9160725e-11,-0.05164372,5.8069969e-11,-0.052307056,5.7352821e-11,-0.049708501,4.9592906e-11,-0.052369124,5.1432204e-11,-0.040519981,3.2882811e-11,-0.053052831,4.845757e-11,-0.052824929,4.6341573e-11,-0.052597027,4.5155071e-11,-0.052597027,4.438544e-11,-0.052824929,4.3469423e-11,-0.052824929,4.3010088e-11,-0.052369124,4.2072336e-11,-0.052597027,4.2130107e-11,-0.052141222,4.122065e-11,-0.038264048,2.5251088e-11,-0.052274018,4.1652594e-11,-0.052333644,4.1999566e-11,-0.028453269,1.8101393e-11,-0.028634247,1.8348333e-11,-0.028634247,1.8453317e-11,-0.028634247,1.855759e-11,-0.028453269,1.8495574e-11,-0.051229613,4.247916e-11,-0.028634247,1.9107815e-11,-0.028634247,1.9300666e-11,-0.050545906,4.3451008e-11,-0.028634247,2.0018117e-11,-0.028634247,2.0188694e-11,-0.028634247,2.052397e-11,-0.028634247,2.0853792e-11,-0.028634247,2.1018258e-11,-0.028634247,2.1359712e-11,-0.028634247,2.19477e-11
-0.055021172,-2.5896473e-19,-0.05570852,4.9496199e-11,-0.060265288,6.8043193e-11,-0.066327719,9.3491847e-11,-0.065662048,1.0136261e-10,-0.06510402,9.7365196e-11,-0.06664372,9.5788951e-11,-0.067307056,9.4723233e-11,-0.064708501,8.2026183e-11,-0.067369124,8.5177874e-11,-0.052804767,4.9770762e-11,-0.068052831,8.062978e-11,-0.067824929,7.7187514e-11,-0.067597027,7.5288236e-11,-0.067597027,7.4107467e-11,-0.067824929,7.3047751e-11,-0.067824929,7.2689297e-11,-0.067369124,7.1184296e-11,-0.067597027,7.1362994e-11,-0.067141222,6.9953744e-11,-0.047773925,3.5280585e-11,-0.067274018,7.1269749e-11,-0.067333644,7.1823657e-11,-0.040651324,2.7945048e-11,-0.041093727,2.8588862e-11,-0.04100638,2.8673548e-11,-0.041093727,2.8943888e-11,-0.040824785,2.877317e-11,-0.066229613,7.3309017e-11,-0.04100638,2.9913692e-11,-0.04100638,3.0206778e-11,-0.065545906,7.4824698e-11,-0.04100638,3.1291502e-11,-0.04100638,3.1549137e-11,-0.04100638,3.2054156e-11,-0.04100638,3.2551001e-11,-0.04100638,3.2802839e-11,-0.04100638,3.3345001e-11,-0.04100638,3.4249922e-11
-0.068221342,1.9236294e-17,-0.06890869,7.6822732e-11,-0.070250288,9.4836362e-11,-0.081327719,1.5391057e-10,-0.080662048,1.6679718e-10,-0.08010402,1.6044044e-10,-0.08164372,1.5822038e-10,-0.082307056,1.5666846e-10,-0.079708501,1.3585658e-10,-0.082369124,1.4129133e-10,-0.060304767,6.4146387e-11,-0.083052831,1.3434589e-10,-0.082824929,1.2881045e-10,-0.082597027,1.258004e-10,-0.082597027,1.2405866e-10,-0.082824929,1.2336305e-10,-0.082824929,1.2308441e-10,-0.082369124,1.2063691e-10,-0.082597027,1.2108178e-10,-0.082141222,1.1913265e-10,-0.060434741,5.5190606e-11,-0.082274018,1.2202133e-10,-0.082333644,1.2292051e-10,-0.055651324,4.7723052e-11,-0.056093727,4.8831696e-11,-0.04850638,3.7477189e-11,-0.056093727,4.9525742e-11,-0.055824785,4.9311267e-11,-0.081229613,1.2657602e-10,-0.04850638,3.9268592e-11,-0.04850638,3.9644144e-11,-0.080545906,1.2888202e-10,-0.04850638,4.1036774e-11,-0.04850638,4.1367251e-11,-0.04850638,4.2014177e-11,-0.04850638,4.2653985e-11,-0.04850638,4.2984614e-11,-0.04850638,4.3707067e-11,-0.04850638,4.4859056e-11
-0.075721342,-3.2928678e-17,-0.07640869,9.8659378e-11,-0.083450458,1.4721087e-10,-0.096327719,2.536582e-10,-0.095662048,2.7476189e-10,-0.09510402,2.6467246e-10,-0.09664372,2.6167859e-10,-0.097307056,2.5946481e-10,-0.094708501,2.2528959e-10,-0.097369124,2.3474022e-10,-0.070289767,8.9995142e-11,-0.098052831,2.2417566e-10,-0.097824929,2.1537864e-10,-0.097597027,2.1069311e-10,-0.097597027,2.083741e-10,-0.097824929,2.0899851e-10,-0.097824929,2.0873184e-10,-0.097369124,2.0472544e-10,-0.097597027,2.0580402e-10,-0.097141222,2.0389661e-10,-0.075434741,9.4207526e-11,-0.097274018,2.0901909e-10,-0.097333644,2.105245e-10,-0.070651324,8.1598447e-11,-0.071093727,8.3527037e-11,-0.05849138,5.3562645e-11,-0.071093727,8.4999309e-11,-0.070824785,8.4881706e-11,-0.096229613,2.1850043e-10,-0.05849138,5.6428666e-11,-0.05842138,5.6805849e-11,-0.095545906,2.2195763e-10,-0.05849138,5.8890475e-11,-0.05849138,5.9350194e-11,-0.05849138,6.025023e-11,-0.05849138,6.1156468e-11,-0.05849138,6.1639457e-11,-0.05842138,6.2533414e-11,-0.05849138,6.4241527e-11
-0.085706342,6.0053852e-19,-0.08639369,1.3771197e-10,-0.090950458,1.8906406e-10,-0.11132772,4.1846296e-10,-0.11066205,4.5304136e-10,-0.11010402,4.3705337e-10,-0.11164372,4.3327924e-10,-0.11230706,4.3021578e-10,-0.1097085,3.740074e-10,-0.11236912,3.9058993e-10,-0.083489937,1.4097224e-10,-0.11305283,3.7463913e-10,-0.11282493,3.6087481e-10,-0.11259703,3.5386416e-10,-0.11259703,3.5160087e-10,-0.11282493,3.5468808e-10,-0.11282493,3.5437693e-10,-0.11236912,3.4783695e-10,-0.11259703,3.5075891e-10,-0.11214122,3.4986245e-10,-0.090434741,1.6143771e-10,-0.11227402,3.5822076e-10,-0.11233364,3.6080037e-10,-0.085651324,1.3967398e-10,-0.086093727,1.4305514e-10,-0.07169155,8.5975528e-11,-0.086093727,1.4650631e-10,-0.085824785,1.4662497e-10,-0.11122961,3.7696332e-10,-0.07169155,9.1154169e-11,-0.07152901,9.1418062e-11,-0.11054591,3.8206096e-10,-0.07169155,9.4959509e-11,-0.07169155,9.5669756e-11,-0.07169155,9.7071434e-11,-0.07169155,9.8547748e-11,-0.07169155,9.9354662e-11,-0.07152901,1.0042216e-10,-0.07169155,1.0325054e-10
-0.098906512,-1.0496549e-18,-0.09959386,2.1416561e-10,-0.10093546,2.6391338e-10,-0.12632772,6.9096237e-10,-0.12566205,7.4757564e-10,-0.12510402,7.2231269e-10,-0.12664372,7.1813066e-10,-0.12730706,7.1403012e-10,-0.1247085,6.2149668e-10,-0.12736912,6.5089389e-10,-0.090989937,1.8201111e-10,-0.12805283,6.2706487e-10,-0.12782493,6.0609413e-10,-0.12759703,5.9658539e-10,-0.12759703,5.9609506e-10,-0.12782493,6.0253624e-10,-0.12782493,6.0215337e-10,-0.12736912,5.9170396e-10,-0.12759703,6.0054763e-10,-0.12714122,6.0035558e-10,-0.10543474,2.7687074e-10,-0.12727402,6.1417715e-10,-0.12733364,6.1867038e-10,-0.10065132,2.3931378e-10,-0.10109373,2.4529864e-10,-0.08669155,1.4745377e-10,-0.10109373,2.532562e-10,-0.10082479,2.5342143e-10,-0.12622961,6.4973893e-10,-0.07919155,1.1971053e-10,-0.07902901,1.2002971e-10,-0.12554591,6.5715526e-10,-0.07919155,1.245795e-10,-0.07919155,1.2548942e-10,-0.07919155,1.2730724e-10,-0.07919155,1.2927995e-10,-0.07919155,1.3035116e-10,-0.08652901,1.7253145e-10,-0.08669155,1.7695778e-10
-0.10640651,-8.1274927e-20,-0.10709386,2.7533337e-10,-0.11413563,4.1043894e-10,-0.14132772,1.1417466e-09,-0.14066205,1.2343138e-09,-0.14010402,1.1944959e-09,-0.14164372,1.1911786e-09,-0.14230706,1.1859359e-09,-0.1397085,1.0336451e-09,-0.14236912,1.0862914e-09,-0.10097494,2.5587876e-10,-0.14305283,1.0512244e-09,-0.14282493,1.0210681e-09,-0.14259703,1.0106383e-09,-0.14259703,1.0130711e-09,-0.14282493,1.0241388e-09,-0.14282493,1.0238285e-09,-0.14236912,1.0084318e-09,-0.14259703,1.0311345e-09,-0.14214122,1.0299084e-09,-0.12043474,4.7484224e-10,-0.14227402,1.0532878e-09,-0.14233364,1.0612006e-09,-0.11565132,4.1036887e-10,-0.11609373,4.2122916e-10,-0.10169155,2.5362445e-10,-0.11609373,4.3774052e-10,-0.11582479,4.3767673e-10,-0.14122961,1.1184366e-09,-0.08917655,1.7206053e-10,-0.08901401,1.7246704e-10,-0.14054591,1.1293735e-09,-0.08917655,1.7881415e-10,-0.08917655,1.8008495e-10,-0.08917655,1.8269567e-10,-0.08910655,1.8513701e-10,-0.08910655,1.8660892e-10,-0.10152901,2.9610954e-10,-0.10169155,3.0301617e-10
-0.11632151,-2.0907957e-18,-0.11707886,3.8483076e-10,-0.12163563,5.276597e-10,-0.15632772,1.8877302e-09,-0.15566205,2.0386163e-09,-0.15510402,1.9760352e-09,-0.15664372,1.9768213e-09,-0.15730706,1.9706081e-09,-0.1547085,1.7203874e-09,-0.15736912,1.8153335e-09,-0.11417511,4.0172917e-10,-0.15805283,1.7651548e-09,-0.15782493,1.7274179e-09,-0.15759703,1.7177073e-09,-0.15759703,1.7228425e-09,-0.15782493,1.7410947e-09,-0.15782493,1.7418157e-09,-0.15736912,1.7251355e-09,-0.15759703,1.769966e-09,-0.15714122,1.7661863e-09,-0.13543474,8.1436218e-10,-0.15727402,1.8064215e-09,-0.15733364,1.8206497e-09,-0.13065132,7.04216e-10,-0.13109373,7.2527013e-10,-0.11669155,4.3793596e-10,-0.13109373,7.5569914e-10,-0.13082479,7.5503206e-10,-0.15622961,1.9218916e-09,-0.10237672,2.7787213e-10,-0.10221418,2.7841749e-10,-0.15554591,1.9393953e-09,-0.10237672,2.8828213e-10,-0.10237672,2.9029965e-10,-0.10237672,2.9465066e-10,-0.10221418,2.9747202e-10,-0.10221418,2.9957835e-10,-0.11652901,5.0760552e-10,-0.11669155,5.1824953e-10
